Age,Gender,Region,Educational_Background,Technical_Skills,Experience_Level,Preferred_Job_Role,Salary_Expectation,Application_Source,Application_Status,Interview_Score,Certifications_Count
20.0,Male,Oceania,Arts,"Python, Tableau",7.0,nan,50655.15,Campus Recruitment,nan,53.0,0.0
24.0,Female,North America,Business,"Excel, R",1.0,Data Architect,86820.6,nan,Accepted,99.0,4.0
26.0,Non-Binary,Asia,Engineering,"Excel, R",0.0,nan,67759.6,LinkedIn,nan,,2.0
22.0,Prefer Not to Say,nan,Engineering,"Excel, R",2.0,BI Analyst,64892.44,LinkedIn,Accepted,49.0,4.0
20.0,nan,South America,Business,"Python, Tableau",1.0,Data Engineer,57606.73,nan,Accepted,66.0,0.0
32.0,Non-Binary,nan,Computer Science,"Excel, R",0.0,Data Analyst,79955.42,LinkedIn,Accepted,91.0,0.0
35.0,Female,Oceania,Computer Science,"R, Excel",7.0,nan,78522.15,nan,nan,99.0,0.0
32.0,nan,Europe,Engineering,"Excel, R",0.0,Data Analyst,65777.06,LinkedIn,Rejected,43.0,0.0
28.0,Male,Asia,Arts,"Python, Tableau",2.0,ML Engineer,79981.51,Job Portal,Rejected,83.0,4.0
20.0,Prefer Not to Say,nan,Statistics,"Python, Tableau",1.0,Data Engineer,73309.34,Referral,nan,70.0,3.0
32.0,Female,Europe,Computer Science,"SQL, PowerBI",0.0,nan,71289.41,Company Website,Accepted,,0.0
32.0,Prefer Not to Say,Africa,Arts,"Excel, R",0.0,Data Analyst,81743.16,nan,Pending,43.0,
40.0,nan,South America,nan,"Python, Tableau",10.0,Data Scientist,97170.22,Referral,Rejected,81.0,2.0
24.0,Non-Binary,South America,Computer Science,nan,7.0,Data Analyst,74228.41,Referral,Pending,78.0,4.0
40.0,Prefer Not to Say,Africa,Statistics,"Excel, R",5.0,BI Analyst,74251.52,Referral,Pending,83.0,12.0
20.0,Male,Europe,Business,"Python, SQL",0.0,Data Scientist,83779.17,Job Portal,Pending,91.0,1.0
20.0,Female,nan,Mathematics,"R, Excel",5.0,Data Engineer,55713.0,Company Website,nan,43.0,4.0
26.0,Male,Asia,Engineering,"R, Excel",5.0,Data Architect,67253.84,Campus Recruitment,Accepted,91.0,4.0
40.0,Prefer Not to Say,Europe,Business,nan,1.0,ML Engineer,64208.72,Campus Recruitment,nan,84.0,0.0
30.0,Non-Binary,Asia,Computer Science,"Excel, R",3.0,Data Scientist,74505.95,nan,Accepted,79.0,
24.0,Non-Binary,Oceania,Statistics,"R, Excel",7.0,Data Analyst,73254.1,Company Website,Accepted,44.0,4.0
20.0,Male,Africa,Engineering,"R, Excel",5.0,nan,96378.48,Company Website,Pending,62.0,2.0
26.0,nan,North America,Mathematics,"Python, SQL",1.0,nan,92487.81,LinkedIn,Pending,68.0,1.0
40.0,nan,Asia,Mathematics,"R, Excel",7.0,ML Engineer,47277.8,Referral,Rejected,68.0,2.0
24.0,Non-Binary,South America,Statistics,"R, Excel",10.0,Data Architect,75359.02,LinkedIn,nan,71.0,
40.0,Male,Oceania,Statistics,"Python, Tableau",2.0,Data Architect,80622.85,Job Portal,Rejected,83.0,5.0
32.0,Male,South America,Computer Science,"R, Excel",5.0,ML Engineer,71260.77,Job Portal,Accepted,99.0,
26.0,Male,Oceania,Engineering,"Excel, R",3.0,ML Engineer,62260.21,Company Website,nan,66.0,2.0
24.0,Prefer Not to Say,South America,nan,"R, Excel",2.0,ML Engineer,90680.73,Job Portal,nan,53.0,0.0
,nan,Europe,nan,"Excel, R",7.0,Data Engineer,74952.39,Company Website,Rejected,44.0,5.0
28.0,nan,nan,Computer Science,"R, Excel",5.0,Data Engineer,54348.72,Campus Recruitment,nan,79.0,
28.0,Prefer Not to Say,Europe,Mathematics,"Excel, R",,Data Engineer,84640.33,Referral,Pending,83.0,4.0
24.0,Female,Europe,Business,"R, Excel",10.0,nan,77016.13,Job Portal,Pending,,5.0
40.0,Prefer Not to Say,nan,Business,nan,5.0,Data Analyst,60345.07,LinkedIn,Pending,53.0,1.0
26.0,Male,Oceania,Arts,"Excel, R",3.0,Data Engineer,58548.0,Job Portal,Accepted,68.0,1.0
28.0,Prefer Not to Say,Oceania,Mathematics,"R, Excel",0.0,ML Engineer,58058.04,nan,Rejected,83.0,1.0
26.0,Male,nan,nan,"Python, SQL",3.0,Data Scientist,87756.28,Referral,Pending,78.0,2.0
28.0,Non-Binary,South America,nan,"Python, Tableau",10.0,Data Scientist,78842.02,Job Portal,Accepted,84.0,5.0
32.0,Male,Asia,Mathematics,"Python, Tableau",1.0,Data Architect,84343.43,Company Website,Accepted,83.0,1.0
40.0,nan,Oceania,Computer Science,"Python, Tableau",1.0,Data Scientist,73067.47,Job Portal,Rejected,78.0,1.0
32.0,Prefer Not to Say,South America,Arts,"Python, Tableau",10.0,Data Scientist,59776.73,Campus Recruitment,Pending,70.0,2.0
28.0,Male,Asia,Statistics,"Python, SQL",10.0,Data Scientist,58084.95,Campus Recruitment,nan,84.0,0.0
,Female,nan,Arts,nan,10.0,Data Architect,86097.23,Job Portal,Accepted,47.0,2.0
,Non-Binary,Europe,Engineering,nan,3.0,BI Analyst,76693.43,LinkedIn,nan,53.0,
32.0,Female,Oceania,Computer Science,"Python, SQL",3.0,nan,66014.6,Job Portal,Accepted,70.0,2.0
,Female,North America,Statistics,"R, Excel",,Data Scientist,70320.32,Company Website,Pending,83.0,5.0
28.0,Female,Europe,Statistics,"Python, SQL",,Data Scientist,84971.31,Company Website,Accepted,47.0,0.0
24.0,Non-Binary,Africa,nan,"Python, Tableau",3.0,Data Scientist,78447.77,Company Website,Accepted,79.0,3.0
32.0,Non-Binary,Asia,Business,nan,,nan,68615.97,LinkedIn,Rejected,47.0,5.0
22.0,Non-Binary,North America,Engineering,"SQL, PowerBI",3.0,Data Architect,69306.26,Campus Recruitment,Rejected,71.0,3.0
40.0,Non-Binary,Europe,Arts,"R, Excel",10.0,Data Analyst,61142.34,Company Website,nan,84.0,4.0
,Female,Oceania,Business,"Excel, R",3.0,BI Analyst,70347.31,Company Website,Rejected,84.0,4.0
,nan,North America,Mathematics,nan,5.0,nan,65682.18,Job Portal,Rejected,44.0,
20.0,nan,South America,Computer Science,"Python, Tableau",,Data Scientist,69247.95,Campus Recruitment,nan,83.0,2.0
30.0,Non-Binary,Asia,Arts,nan,7.0,Data Architect,61876.56,Company Website,nan,81.0,
32.0,Prefer Not to Say,Africa,Mathematics,"Python, Tableau",7.0,Data Architect,49904.07,Company Website,Rejected,99.0,4.0
35.0,Male,South America,Statistics,"Python, Tableau",2.0,Data Engineer,84306.99,Job Portal,Pending,,3.0
,Prefer Not to Say,North America,nan,nan,1.0,nan,78596.8,Job Portal,Accepted,83.0,4.0
40.0,Prefer Not to Say,Europe,Arts,nan,1.0,nan,66017.92,Referral,Pending,47.0,
22.0,Prefer Not to Say,Asia,Business,nan,7.0,Data Analyst,65172.84,Job Portal,Pending,81.0,
,nan,Oceania,Engineering,"Python, SQL",10.0,Data Architect,49168.81,Job Portal,Rejected,91.0,3.0
22.0,Male,Africa,Business,nan,10.0,Data Architect,85988.17,Referral,Pending,68.0,3.0
28.0,Prefer Not to Say,Europe,Computer Science,"Excel, R",,BI Analyst,88809.25,Company Website,Accepted,47.0,2.0
28.0,Non-Binary,Africa,nan,"R, Excel",7.0,Data Engineer,68680.18,nan,Pending,62.0,4.0
30.0,nan,Oceania,Computer Science,"Python, Tableau",,Data Engineer,74901.73,Job Portal,nan,84.0,4.0
24.0,Non-Binary,nan,Arts,nan,2.0,Data Analyst,55169.48,LinkedIn,Pending,44.0,
35.0,Non-Binary,Asia,Business,"Excel, R",,Data Architect,71283.98,Referral,Rejected,83.0,0.0
20.0,Prefer Not to Say,North America,Engineering,"SQL, PowerBI",3.0,Data Engineer,59679.98,nan,Pending,83.0,0.0
30.0,Non-Binary,Africa,Statistics,nan,7.0,ML Engineer,59731.96,nan,Pending,66.0,3.0
26.0,Male,Asia,Computer Science,"Python, SQL",10.0,Data Analyst,65671.04,Referral,nan,49.0,5.0
20.0,Non-Binary,Africa,Engineering,"Python, Tableau",7.0,Data Analyst,63635.69,nan,Rejected,62.0,2.0
32.0,Prefer Not to Say,Europe,Mathematics,"Excel, R",,ML Engineer,68076.01,Company Website,Accepted,84.0,1.0
40.0,Non-Binary,Africa,Arts,nan,2.0,Data Analyst,85849.69,nan,Rejected,47.0,
26.0,nan,nan,Engineering,"Excel, R",3.0,Data Engineer,38320.48,nan,Rejected,66.0,4.0
26.0,nan,Europe,Arts,"Python, Tableau",,Data Engineer,62000.96,Job Portal,Pending,81.0,4.0
30.0,nan,Europe,Mathematics,"Excel, R",1.0,nan,79476.41,LinkedIn,Rejected,81.0,3.0
24.0,Female,Asia,Engineering,"Excel, R",10.0,Data Engineer,72920.77,Company Website,Rejected,83.0,3.0
30.0,nan,South America,nan,nan,10.0,ML Engineer,58303.68,Job Portal,Accepted,81.0,4.0
32.0,nan,Oceania,Engineering,nan,7.0,nan,101578.02,Company Website,Pending,,3.0
,Female,Africa,Statistics,"R, Excel",0.0,Data Engineer,110445.18,nan,Accepted,71.0,2.0
,nan,North America,Mathematics,"Python, SQL",1.0,ML Engineer,69767.41,Referral,Accepted,91.0,4.0
24.0,Prefer Not to Say,Europe,nan,"R, Excel",1.0,ML Engineer,55128.39,Referral,Rejected,43.0,4.0
32.0,nan,South America,nan,"Python, SQL",0.0,ML Engineer,66233.24,Job Portal,Accepted,83.0,0.0
24.0,nan,Europe,Business,"Python, SQL",2.0,nan,53090.2,Company Website,nan,53.0,3.0
22.0,Female,South America,Engineering,"R, Excel",5.0,Data Analyst,76009.7,nan,Accepted,,5.0
,Prefer Not to Say,South America,Statistics,"Python, Tableau",3.0,BI Analyst,78633.41,Job Portal,Rejected,91.0,0.0
26.0,Non-Binary,North America,Engineering,"Excel, R",3.0,Data Architect,84779.84,nan,Rejected,83.0,3.0
35.0,Male,South America,Statistics,"SQL, PowerBI",1.0,ML Engineer,75991.33,Campus Recruitment,Pending,83.0,1.0
40.0,Prefer Not to Say,North America,nan,"R, Excel",,Data Engineer,73431.39,Job Portal,Rejected,62.0,4.0
32.0,Non-Binary,Asia,Computer Science,"R, Excel",0.0,ML Engineer,54886.77,nan,Rejected,53.0,0.0
20.0,Prefer Not to Say,Europe,nan,"Python, Tableau",,Data Architect,51662.73,Campus Recruitment,nan,70.0,4.0
24.0,Non-Binary,North America,Business,"Excel, R",10.0,Data Scientist,39688.4,Referral,Rejected,83.0,
40.0,Non-Binary,Oceania,Engineering,nan,1.0,Data Analyst,71213.26,LinkedIn,Pending,53.0,0.0
20.0,Prefer Not to Say,nan,Mathematics,"R, Excel",1.0,Data Engineer,82949.01,Referral,Accepted,62.0,0.0
40.0,Female,Europe,Arts,"SQL, PowerBI",10.0,Data Analyst,87275.14,LinkedIn,Rejected,79.0,1.0
35.0,Prefer Not to Say,nan,Mathematics,"Excel, R",10.0,Data Analyst,82564.1,Company Website,Pending,47.0,4.0
20.0,Prefer Not to Say,Oceania,Business,"R, Excel",7.0,Data Scientist,64492.01,LinkedIn,Rejected,,2.0
30.0,Non-Binary,Africa,Computer Science,nan,2.0,ML Engineer,97887.28,Company Website,Accepted,,3.0
28.0,Male,Oceania,Computer Science,"R, Excel",,Data Engineer,55768.08,Campus Recruitment,Accepted,79.0,4.0
30.0,Non-Binary,Asia,Computer Science,nan,,BI Analyst,55067.53,Company Website,Rejected,49.0,3.0
,nan,Africa,Statistics,"Python, SQL",,Data Analyst,81500.57,Job Portal,Rejected,79.0,2.0
28.0,Prefer Not to Say,Africa,Mathematics,"Python, SQL",3.0,Data Architect,91093.6,Job Portal,Pending,81.0,5.0
30.0,Prefer Not to Say,South America,Arts,"R, Excel",5.0,BI Analyst,96889.74,nan,Accepted,47.0,5.0
28.0,Female,Oceania,nan,"Python, Tableau",0.0,BI Analyst,84956.6,Job Portal,Rejected,53.0,2.0
28.0,Non-Binary,South America,nan,"Python, SQL",5.0,nan,81019.0,Referral,Rejected,49.0,3.0
26.0,Female,Oceania,Arts,"R, Excel",0.0,ML Engineer,82192.39,nan,Rejected,79.0,3.0
24.0,Prefer Not to Say,Africa,nan,nan,3.0,BI Analyst,65828.2,Job Portal,Rejected,,3.0
24.0,Non-Binary,South America,Statistics,"Excel, R",,Data Engineer,57980.8,Company Website,Pending,91.0,2.0
26.0,Non-Binary,nan,Engineering,nan,2.0,ML Engineer,74120.6,Company Website,nan,83.0,2.0
40.0,nan,Europe,Statistics,"SQL, PowerBI",5.0,Data Architect,44565.07,Company Website,Pending,78.0,2.0
22.0,nan,Oceania,Arts,"Python, SQL",0.0,BI Analyst,65374.98,Job Portal,Accepted,47.0,
40.0,Male,Oceania,Arts,"R, Excel",1.0,ML Engineer,62039.22,nan,Accepted,79.0,
20.0,nan,South America,Engineering,"Python, SQL",10.0,Data Engineer,78749.07,Campus Recruitment,nan,49.0,4.0
20.0,Non-Binary,Oceania,Mathematics,nan,3.0,Data Analyst,73301.96,Campus Recruitment,Pending,71.0,3.0
28.0,nan,Africa,Mathematics,nan,2.0,Data Scientist,92297.07,Referral,nan,53.0,
30.0,Male,South America,Business,"Excel, R",10.0,ML Engineer,82334.29,Company Website,nan,66.0,4.0
30.0,Prefer Not to Say,South America,Mathematics,"Python, Tableau",7.0,Data Architect,60413.26,Company Website,Accepted,84.0,1.0
24.0,nan,North America,Computer Science,"R, Excel",1.0,Data Scientist,80087.67,Referral,Pending,81.0,2.0
32.0,Non-Binary,nan,Computer Science,"Excel, R",2.0,nan,44091.03,Company Website,Rejected,70.0,5.0
40.0,Prefer Not to Say,nan,Business,"SQL, PowerBI",0.0,Data Analyst,80985.94,LinkedIn,Rejected,43.0,4.0
,Non-Binary,North America,Arts,"R, Excel",,Data Architect,58807.5,nan,nan,44.0,2.0
35.0,Prefer Not to Say,Africa,Business,"SQL, PowerBI",1.0,Data Engineer,60883.33,Referral,Pending,84.0,0.0
30.0,Non-Binary,Europe,Engineering,"Python, Tableau",7.0,Data Architect,90144.63,Company Website,Rejected,84.0,3.0
35.0,nan,Oceania,Business,"R, Excel",,Data Analyst,75843.06,Referral,Rejected,44.0,
28.0,nan,Asia,Business,"R, Excel",7.0,Data Scientist,67103.48,LinkedIn,Pending,83.0,
35.0,Male,Oceania,Statistics,"Excel, R",2.0,Data Engineer,85245.86,LinkedIn,Rejected,83.0,2.0
,Prefer Not to Say,Asia,Computer Science,"Python, SQL",3.0,Data Architect,92098.97,nan,Accepted,53.0,
26.0,Male,nan,Engineering,"R, Excel",5.0,BI Analyst,55004.28,Job Portal,Rejected,91.0,3.0
,Female,Africa,Statistics,"Python, Tableau",7.0,BI Analyst,59293.78,Company Website,Accepted,53.0,4.0
35.0,nan,Europe,Engineering,"R, Excel",7.0,ML Engineer,82167.91,nan,nan,,0.0
,Prefer Not to Say,Europe,Business,"R, Excel",10.0,BI Analyst,74598.9,LinkedIn,Pending,66.0,3.0
22.0,Male,Europe,Statistics,"R, Excel",5.0,Data Architect,42083.1,LinkedIn,Accepted,70.0,1.0
28.0,Male,North America,Statistics,"R, Excel",1.0,Data Scientist,96740.27,nan,Rejected,66.0,2.0
40.0,Female,Africa,Engineering,"Python, Tableau",3.0,BI Analyst,62773.42,LinkedIn,Accepted,71.0,3.0
26.0,Male,Asia,Engineering,"Excel, R",3.0,ML Engineer,54926.09,Job Portal,Rejected,62.0,5.0
30.0,Non-Binary,Europe,Mathematics,"Python, SQL",10.0,Data Engineer,70174.06,Company Website,Rejected,83.0,5.0
20.0,nan,Africa,nan,"Python, Tableau",2.0,BI Analyst,83531.22,Referral,Accepted,70.0,1.0
40.0,Male,Oceania,Engineering,"Python, Tableau",1.0,ML Engineer,87019.97,Job Portal,Rejected,70.0,3.0
20.0,Male,Asia,Statistics,"SQL, PowerBI",10.0,BI Analyst,70857.53,Company Website,Accepted,49.0,4.0
28.0,Female,nan,Arts,"Python, SQL",3.0,nan,108037.43,LinkedIn,nan,44.0,5.0
26.0,Non-Binary,North America,Engineering,"Excel, R",2.0,BI Analyst,112345.93,Job Portal,nan,68.0,
24.0,Male,South America,Computer Science,nan,3.0,Data Architect,76719.54,Campus Recruitment,nan,79.0,2.0
30.0,nan,Asia,Mathematics,"Excel, R",1.0,Data Scientist,69068.81,Campus Recruitment,nan,49.0,2.0
22.0,nan,nan,Computer Science,nan,3.0,ML Engineer,64947.58,LinkedIn,Rejected,44.0,1.0
24.0,Male,nan,nan,"SQL, PowerBI",10.0,ML Engineer,67708.11,Company Website,Pending,68.0,5.0
28.0,Non-Binary,nan,Computer Science,"SQL, PowerBI",3.0,Data Analyst,92426.47,Company Website,Pending,66.0,5.0
40.0,nan,Oceania,Arts,"Python, Tableau",3.0,Data Analyst,75037.02,Job Portal,Accepted,84.0,
22.0,nan,Asia,Mathematics,"Excel, R",5.0,ML Engineer,83054.56,Campus Recruitment,nan,66.0,0.0
,Non-Binary,Asia,nan,nan,0.0,Data Architect,80408.26,Company Website,nan,83.0,5.0
35.0,Non-Binary,South America,Business,"Excel, R",1.0,Data Scientist,79095.79,Job Portal,Accepted,81.0,0.0
22.0,Male,Europe,Statistics,nan,,BI Analyst,86335.99,Job Portal,Pending,62.0,1.0
28.0,Prefer Not to Say,Oceania,Statistics,"Excel, R",,Data Engineer,82413.45,Campus Recruitment,Pending,66.0,3.0
32.0,Female,nan,Engineering,"Python, Tableau",,Data Architect,77150.14,LinkedIn,nan,91.0,0.0
35.0,Prefer Not to Say,South America,Statistics,nan,5.0,BI Analyst,97673.27,Job Portal,nan,,
20.0,Prefer Not to Say,Asia,Arts,"Excel, R",,Data Engineer,50210.57,LinkedIn,Pending,70.0,2.0
30.0,nan,Oceania,Statistics,"R, Excel",0.0,Data Scientist,74245.68,Campus Recruitment,nan,71.0,1.0
20.0,Non-Binary,North America,Arts,"SQL, PowerBI",7.0,Data Analyst,62085.64,Job Portal,nan,,1.0
22.0,nan,Asia,Business,"SQL, PowerBI",3.0,ML Engineer,83794.51,Referral,nan,43.0,2.0
20.0,Female,North America,Arts,nan,3.0,Data Scientist,45486.86,Campus Recruitment,Pending,81.0,0.0
28.0,Male,Africa,Business,"SQL, PowerBI",10.0,Data Engineer,73497.73,Campus Recruitment,nan,62.0,4.0
,Female,North America,Business,"SQL, PowerBI",5.0,Data Architect,77235.65,Referral,nan,49.0,
40.0,nan,Asia,Business,"R, Excel",2.0,ML Engineer,88344.38,Campus Recruitment,nan,91.0,1.0
30.0,nan,South America,Arts,"Python, SQL",1.0,Data Engineer,63658.27,Referral,Rejected,79.0,5.0
20.0,nan,Asia,nan,"Excel, R",0.0,BI Analyst,111853.47,Referral,Accepted,70.0,3.0
20.0,nan,Asia,Business,nan,,BI Analyst,61204.39,Campus Recruitment,Accepted,78.0,1.0
22.0,Prefer Not to Say,Africa,nan,"SQL, PowerBI",3.0,Data Architect,52926.79,Referral,nan,,
40.0,Male,nan,Arts,"Excel, R",,BI Analyst,79086.88,Referral,Pending,53.0,5.0
24.0,Prefer Not to Say,Europe,Mathematics,"Excel, R",,ML Engineer,68086.72,Campus Recruitment,Accepted,44.0,5.0
20.0,nan,Asia,Business,"R, Excel",1.0,Data Analyst,97620.31,Referral,nan,84.0,4.0
28.0,Non-Binary,Africa,Arts,"Excel, R",3.0,Data Analyst,46152.5,LinkedIn,nan,70.0,2.0
32.0,Prefer Not to Say,South America,Arts,"SQL, PowerBI",3.0,Data Engineer,70535.3,Campus Recruitment,Accepted,70.0,5.0
30.0,nan,Africa,nan,nan,3.0,Data Analyst,82271.74,Campus Recruitment,Rejected,66.0,
20.0,nan,Africa,Arts,"Excel, R",10.0,Data Analyst,60000.85,LinkedIn,Rejected,43.0,0.0
28.0,Male,North America,Engineering,"R, Excel",1.0,Data Engineer,49114.14,Company Website,Accepted,84.0,2.0
28.0,Female,Europe,nan,nan,5.0,Data Engineer,91722.35,nan,nan,66.0,2.0
30.0,Prefer Not to Say,Europe,nan,nan,1.0,Data Engineer,57408.66,Job Portal,Rejected,70.0,0.0
24.0,Prefer Not to Say,Oceania,Engineering,nan,1.0,ML Engineer,85657.57,Referral,Pending,81.0,2.0
28.0,Prefer Not to Say,nan,Business,"SQL, PowerBI",7.0,nan,56138.03,nan,Accepted,78.0,5.0
32.0,nan,South America,Statistics,"R, Excel",,Data Engineer,65216.56,Referral,Rejected,84.0,2.0
28.0,Male,Oceania,Mathematics,"Python, Tableau",2.0,ML Engineer,81358.21,nan,Rejected,47.0,1.0
28.0,nan,nan,Statistics,"Python, SQL",10.0,ML Engineer,75308.73,Job Portal,Accepted,62.0,3.0
28.0,nan,nan,Business,"Excel, R",2.0,ML Engineer,56028.05,Referral,nan,66.0,0.0
,Non-Binary,Africa,Computer Science,"Excel, R",10.0,nan,77958.78,nan,Accepted,68.0,1.0
,Male,South America,Computer Science,"Excel, R",5.0,Data Engineer,37415.32,Referral,Pending,43.0,5.0
24.0,Prefer Not to Say,nan,Mathematics,"Python, Tableau",2.0,Data Analyst,51995.32,LinkedIn,nan,66.0,4.0
20.0,Female,South America,nan,nan,,Data Architect,96183.46,LinkedIn,Rejected,66.0,1.0
28.0,Prefer Not to Say,Europe,Mathematics,nan,,Data Architect,67454.54,nan,nan,71.0,1.0
40.0,nan,Europe,Mathematics,"Python, SQL",10.0,nan,80768.94,LinkedIn,Accepted,62.0,2.0
20.0,Male,Europe,Engineering,"R, Excel",5.0,Data Analyst,80334.14,LinkedIn,nan,62.0,3.0
24.0,Male,Asia,Engineering,"Python, Tableau",10.0,nan,64838.61,Campus Recruitment,Rejected,78.0,1.0
26.0,Male,Africa,Computer Science,"Python, Tableau",3.0,Data Engineer,71759.64,Referral,Rejected,44.0,4.0
20.0,Non-Binary,South America,Mathematics,"SQL, PowerBI",3.0,Data Analyst,52409.63,Job Portal,Rejected,,2.0
20.0,Prefer Not to Say,Africa,Arts,nan,,nan,71948.28,Referral,Rejected,84.0,
35.0,Non-Binary,nan,Statistics,"Python, Tableau",1.0,Data Engineer,62642.71,Campus Recruitment,Accepted,79.0,1.0
22.0,Female,South America,Computer Science,"Python, Tableau",3.0,nan,101376.3,Campus Recruitment,Accepted,49.0,
35.0,nan,South America,Mathematics,"Excel, R",2.0,ML Engineer,59481.97,Referral,Pending,83.0,4.0
32.0,Non-Binary,Oceania,Arts,nan,,BI Analyst,77700.1,nan,Accepted,91.0,0.0
,Non-Binary,South America,Mathematics,"SQL, PowerBI",0.0,Data Scientist,65896.86,Referral,Rejected,79.0,5.0
,nan,South America,nan,"R, Excel",1.0,nan,82201.37,LinkedIn,Pending,53.0,1.0
22.0,Male,North America,Business,"Python, SQL",5.0,Data Architect,49651.54,Campus Recruitment,nan,84.0,0.0
30.0,nan,North America,Arts,"R, Excel",3.0,nan,68019.71,Referral,Accepted,71.0,0.0
30.0,Prefer Not to Say,Oceania,nan,"SQL, PowerBI",1.0,Data Engineer,78886.03,Job Portal,Accepted,68.0,4.0
24.0,nan,Asia,Statistics,"Excel, R",1.0,ML Engineer,73529.25,Job Portal,Pending,53.0,2.0
22.0,Male,Europe,Business,"Python, SQL",1.0,BI Analyst,77436.31,LinkedIn,Accepted,83.0,3.0
20.0,nan,nan,nan,"R, Excel",3.0,ML Engineer,57562.01,LinkedIn,Accepted,99.0,3.0
30.0,Non-Binary,nan,Engineering,nan,5.0,Data Scientist,64801.83,Referral,Accepted,79.0,1.0
28.0,Female,South America,Computer Science,nan,,Data Architect,69717.13,Job Portal,Rejected,44.0,5.0
40.0,Non-Binary,Africa,Mathematics,"Python, SQL",1.0,Data Analyst,81698.27,nan,Pending,83.0,4.0
20.0,Female,nan,Computer Science,"Python, SQL",,Data Analyst,90953.15,Campus Recruitment,Pending,49.0,0.0
32.0,nan,North America,Statistics,"Python, SQL",1.0,ML Engineer,42124.89,Company Website,Rejected,70.0,1.0
28.0,Prefer Not to Say,Europe,Mathematics,"Python, Tableau",1.0,Data Scientist,65206.86,Job Portal,Pending,70.0,2.0
28.0,nan,Asia,Business,"SQL, PowerBI",7.0,ML Engineer,60116.07,Campus Recruitment,nan,70.0,5.0
22.0,Male,Europe,Arts,nan,,Data Analyst,58400.03,Job Portal,Accepted,62.0,5.0
24.0,nan,South America,Arts,nan,3.0,ML Engineer,73999.63,Referral,Rejected,83.0,3.0
32.0,Female,Europe,Mathematics,"SQL, PowerBI",7.0,BI Analyst,70488.5,Company Website,nan,43.0,5.0
30.0,Non-Binary,South America,Business,"Excel, R",2.0,Data Scientist,53170.83,Company Website,Rejected,84.0,3.0
22.0,Prefer Not to Say,Oceania,Mathematics,nan,5.0,Data Analyst,52435.75,Referral,Rejected,70.0,0.0
30.0,nan,North America,Mathematics,"R, Excel",1.0,Data Architect,76927.93,Referral,Pending,53.0,5.0
22.0,nan,North America,nan,"Excel, R",7.0,Data Architect,53626.69,LinkedIn,nan,68.0,1.0
22.0,Non-Binary,South America,Mathematics,"R, Excel",1.0,ML Engineer,59578.34,Campus Recruitment,nan,70.0,5.0
22.0,Prefer Not to Say,Africa,Arts,"Python, SQL",7.0,Data Scientist,83851.21,nan,Rejected,79.0,1.0
24.0,nan,North America,Statistics,nan,1.0,ML Engineer,72585.58,Campus Recruitment,Rejected,79.0,3.0
22.0,nan,Africa,Mathematics,"R, Excel",10.0,Data Analyst,93214.43,LinkedIn,nan,68.0,
26.0,Female,South America,Arts,"R, Excel",3.0,Data Scientist,68395.27,Campus Recruitment,Rejected,79.0,2.0
40.0,Female,Oceania,Engineering,"Python, SQL",2.0,Data Analyst,103493.72,Company Website,Pending,66.0,4.0
30.0,Male,South America,Business,"Excel, R",1.0,BI Analyst,67244.23,Job Portal,Pending,79.0,5.0
20.0,Non-Binary,Oceania,Engineering,"R, Excel",7.0,BI Analyst,87967.03,Company Website,Pending,84.0,0.0
35.0,Prefer Not to Say,nan,Mathematics,nan,1.0,Data Architect,57401.32,LinkedIn,Rejected,,3.0
32.0,nan,North America,Arts,"Excel, R",3.0,Data Engineer,60247.51,Campus Recruitment,Accepted,68.0,3.0
,nan,Africa,Business,"Excel, R",5.0,Data Scientist,95376.25,Campus Recruitment,nan,70.0,1.0
24.0,Male,South America,Computer Science,"SQL, PowerBI",5.0,BI Analyst,59570.54,Job Portal,Pending,71.0,0.0
20.0,nan,nan,Business,nan,2.0,Data Engineer,66739.62,nan,Accepted,53.0,3.0
28.0,Non-Binary,North America,Business,nan,10.0,Data Architect,60078.23,Job Portal,Accepted,70.0,3.0
26.0,Male,nan,Mathematics,"Python, SQL",5.0,Data Scientist,86865.71,Job Portal,Pending,,5.0
,Non-Binary,Oceania,nan,"Python, SQL",1.0,Data Analyst,51860.81,Company Website,Pending,78.0,
35.0,Male,South America,Engineering,"Python, Tableau",3.0,ML Engineer,89612.48,LinkedIn,Accepted,79.0,
20.0,nan,nan,Engineering,nan,10.0,ML Engineer,73670.81,LinkedIn,Pending,71.0,3.0
,Male,nan,Computer Science,"Excel, R",,Data Analyst,72796.86,LinkedIn,Accepted,70.0,5.0
20.0,Female,Oceania,Mathematics,"Python, Tableau",1.0,BI Analyst,69136.91,Company Website,Accepted,68.0,0.0
26.0,Prefer Not to Say,Europe,Business,nan,1.0,ML Engineer,88761.78,Referral,Rejected,78.0,5.0
35.0,nan,Oceania,nan,"Python, SQL",2.0,Data Analyst,66711.48,Campus Recruitment,Accepted,99.0,3.0
28.0,Prefer Not to Say,Europe,Statistics,"Python, SQL",5.0,Data Engineer,59335.15,Company Website,Rejected,81.0,3.0
22.0,nan,North America,Engineering,nan,5.0,Data Engineer,77806.54,LinkedIn,Rejected,53.0,5.0
30.0,Prefer Not to Say,South America,Engineering,"Python, Tableau",5.0,Data Analyst,68718.67,Company Website,Pending,78.0,1.0
28.0,Female,nan,Arts,"Python, SQL",7.0,Data Scientist,99412.16,Company Website,nan,83.0,2.0
